"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Telephone Number","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
06C0001191,SOUTH DENVER SURGICAL SERVICES LLC DBA SOUTH DENVER UROLOGY,11 WEST DRY CREEK CIRCLE SUITE 120,LITTLETON,CO,80120,,(303) 835-1129,92,5,3,95,87,11,2,92,76,15,9,90,76,16,8,88,3,153,58,38,07/01/2023,06/30/2024
06C0001195,COLORADO UROLOGIC SURGERY CENTER LLC,10535 PARK MEADOWS BOULEVARD SUITE 102,LONE TREE,CO,80124,,(303) 695-6106,95,4,1,97,88,10,2,93,86,10,4,93,80,15,5,91,,1889,458,24,07/01/2023,06/30/2024
06C0001203,UCHEALTH AMBULATORY SURGERY CENTERS DBA UCHEALTH EASTVIEW SURGERY CENTER,3843 RIO VISTA DRIVE SUITE 3000,COLORADO SPRINGS,CO,80917,,(719) 364-5682,,,,,,,,,,,,,,,,,4,,,,,
07C0001034,NORTHEAST MEDICAL GROUP,112 QUARY RD,TRUMBULL,CT,06611,,(203) 551-7313,98,2,0,99,92,6,2,95,92,6,2,96,92,6,2,96,,1839,432,23,07/01/2023,06/30/2024
07C0001038,SHORELINE SURGERY CENTER LLC,505 WILLARD AVE.,GUILFORD,CT,06437,,(860) 667-9542,99,1,0,99,95,4,1,97,93,6,1,97,95,4,1,98,,1694,504,30,07/01/2023,06/30/2024
07C0001048,NORTH HAVEN SURGERY CENTER LLC,52 WASHINGTON AVE SUITE 1,NORTH HAVEN,CT,06473,,(203) 234-7727,97,2,1,98,92,7,1,95,86,12,2,94,85,13,2,94,,806,222,28,07/01/2023,06/30/2024
07C0001056,MIDDLESEX CENTER FOR ADVANCED ORTHOPEDIC SURGERY,510 SAYBROOK RD,MIDDLETOWN,CT,06457,,(860) 346-2267,,,,,,,,,,,,,,,,,4,,,,,
09C0001001,MEDSTAR SURGERY CENTER AT LAFAYETTE CENTRE LLC,"1145  19TH ST N.W., SUITE 850",WASHINGTON,DC,20036,,(202) 223-9040,96,3,1,97,92,7,1,95,87,11,2,94,86,13,1,95,,2212,314,14,07/01/2023,06/30/2024
10C0001008,LEE ISLAND COAST SURGERY CENTER,4035 EVANS AVE,FORT MYERS,FL,33901,,(239) 939-7375,98,2,0,99,92,6,2,95,92,6,2,96,89,10,1,96,2,882,326,37,07/01/2023,06/30/2024
10C0001025,SURGERY CENTER AT UNIVERSITY PARK LLC DBA PREMIER SURGERY CENTER OF SARASOTA,983 SOUTH BENEVA RD,SARASOTA,FL,34232,,(941) 365-5355,96,4,0,98,91,7,2,95,89,10,1,95,85,13,2,94,,1151,425,37,07/01/2023,06/30/2024
10C0001089,ST AUGUSTINE ENDOSCOPY CENTER LLC,212 SOUTHPARK CIR EAST,SAINT AUGUSTINE,FL,32086,,(904) 824-6108,98,2,0,99,90,8,2,94,94,5,1,97,93,6,1,97,,1112,345,31,07/01/2023,06/30/2024
10C0001167,RIVERSIDE PARK SURGICENTER INC,2001 COLLEGE ST.,JACKSONVILLE,FL,32204,,(904) 355-9800,93,6,1,96,91,7,2,94,81,15,4,92,74,20,6,89,,952,304,32,07/01/2023,06/30/2024
10C0001192,BARKLEY SURGICENTER INC,63 BARKLEY CIR STE. 104,FORT MYERS,FL,33907,,(239) 275-8452,,,,,,,,,,,,,,,,,4,,,,,
10C0001203,UNIVERSITY SURGERY CENTER LTD,7251 UNIVERSITY BLVD SUITE 100,WINTER PARK,FL,32792,,(407) 677-0066,97,3,0,99,94,5,1,96,90,8,2,95,89,9,2,96,,932,200,21,07/01/2023,06/30/2024
10C0001214,THE OUTPATIENT CENTER OF BOYNTON BEACH,2351 SOUTH SEACREST BLVD,BOYNTON BEACH,FL,33435,,(561) 732-5900,97,3,0,98,90,8,2,94,84,13,3,93,81,16,3,92,,1102,262,24,07/01/2023,06/30/2024
10C0001236,DELRAY BEACH SURGERY CENTER,4800 LINTON BOULEVARD BUILDING B,DELRAY BEACH,FL,33445,,(561) 495-9111,96,3,1,97,88,9,3,92,83,14,3,93,83,14,3,93,,1054,363,34,07/01/2023,06/30/2024
10C0001255,GULFSHORE ENDOSCOPY INC,1084 GOODLETTE RD,NAPLES,FL,34102,,(239) 649-1186,,,,,,,,,,,,,,,,,4,,,,,
10C0001264,TREASURE COAST CENTER FOR SURGERY,1155 SOUTHEAST MONTEREY ROAD EXTENSION,STUART,FL,34994,,(772) 286-8028,97,2,1,98,91,7,2,95,87,11,2,95,85,13,2,94,,1004,378,38,07/01/2023,06/30/2024
10C0001293,WINTER HAVEN AMBULATORY SURGICAL CENTER LLC,325 AVE B NW,WINTER HAVEN,FL,33881,,(469) 893-6573,96,4,0,98,90,8,2,94,91,8,1,95,88,10,2,95,,1002,287,29,07/01/2023,06/30/2024
10C0001302,TAMARAC SURGERY CENTER LLC DBA THE SURGERY CENTER OF FORT LAUDERDALE,4485 NORTH STATE RD 7,LAUDERDALE LAKES,FL,33319,,(954) 735-0096,97,3,0,98,92,6,2,95,86,11,3,93,79,18,3,92,,1101,217,20,07/01/2023,06/30/2024
10C0001304,BARDMOOR SURGERY CENTER LLC,"8787 BRYAN DIARY RD, # 300",LARGO,FL,33777,,(727) 394-6609,98,2,0,99,93,5,2,95,91,7,2,96,90,8,2,96,,2393,790,33,07/01/2023,06/30/2024
10C0001308,FORT MYERS SURGERY CENTER,13051 UNIVERSITY DR SUITE 102,FORT MYERS,FL,33907,,(239) 887-3608,96,3,1,98,89,8,3,93,82,13,5,93,81,17,2,93,,1188,323,27,07/01/2023,06/30/2024
10C0001314,NORTH FLORIDA GI CENTER DBA NORTH FLORIDA ENDOSCOPY CENTER,6400 WEST NEWBERRY RD SUITE 201,GAINESVILLE,FL,32605,,(352) 333-5999,,,,,,,,,,,,,,,,,4,,,,,
10C0001319,JACKSONVILLE ENDOSCOPY CENTERS LLC DBA JACKSONVILLE CENTER FOR ENDOSCOPY,1610 BARRS ST SUITE B,JACKSONVILLE,FL,32204,,(904) 387-6750,99,1,0,99,91,7,2,95,91,8,1,96,93,7,0,97,,1150,248,22,07/01/2023,06/30/2024
10C0001327,BAPTIST MEDICAL PARK SURGERY CENTER LLC,9400 UNIVERSITY PKWY SUITE 102,PENSACOLA,FL,32514,,(850) 208-6306,,,,,,,,,,,,,,,,,4,,,,,
10C0001332,LASER AND SURGERY CENTER OF THE PALM BEACHES,3602 KYOTO GARDENS DR,PALM BEACH GARDENS,FL,33410,,(561) 799-3388,97,3,0,98,88,10,2,93,88,10,2,95,86,12,2,94,,1045,358,34,07/01/2023,06/30/2024
10C0001362,DESTIN SURGERY CENTER LLC,1225 AIRPORT ROAD,DESTIN,FL,32541,,(850) 650-7606,98,2,0,99,93,6,1,96,93,6,1,96,91,8,1,97,,1213,394,33,07/01/2023,06/30/2024
10C0001363,DOCTORS GI PARTNERSHIP LTD DBA MELBOURNE GI CENTER,1051 SOUTH HICKORY ST SUITE K,MELBOURNE,FL,32901,,(513) 319-6256,98,1,1,99,95,4,1,97,90,8,2,95,90,8,2,96,,1038,299,29,07/01/2023,06/30/2024
10C0001371,CHARLOTTE ENDOSCOPIC SURGERY CENTER LLC DBA CHARLOTTE ENDOSCOPIC SURGERY CENTER,23970 SUNCOAST BLVD,PORT CHARLOTTE,FL,33908,,(947) 625-3636,97,3,0,99,93,6,1,96,90,8,2,96,88,10,2,95,,871,348,40,07/01/2023,06/30/2024
10C0001377,OPHTHALMOLOGY SURGERY CENTER OF ORLANDO LLC DBA ORLANDO OPHTHALMOLOGY SURGERY CENTER,105 BONNIE LOCH CT,ORLANDO,FL,32806,,(407) 428-0040,95,4,1,97,90,9,1,95,83,13,4,93,79,18,3,92,,1043,341,33,07/01/2023,06/30/2024
10C0001389,JACKSONVILLE ENDOSCOPY CENTERS LLC DBA JACKSONVILLE CENTER FOR ENDOSCOPY SOUTHSIDE,4800 BELFORT RD,JACKSONVILLE,FL,32256,,(904) 265-4801,97,3,0,98,88,9,3,93,92,6,2,96,88,9,3,95,,956,199,21,07/01/2023,06/30/2024
10C0001390,CORAL GABLES SURGERY CENTER,"2645 DOUGLAS RD, SUITE 400",MIAMI,FL,33133,,(305) 461-3229,98,2,0,99,92,6,2,95,88,11,1,96,85,10,5,92,,1068,215,20,07/01/2023,06/30/2024
10C0001401,TRINITY SURGERY CENTER LLC DBA BAYCARE SURGERY CENTER,2020 TRINITY OAKS BLVD,TRINITY,FL,34667,,(727) 372-4055,98,2,0,99,94,5,1,97,96,3,1,97,94,5,1,98,,1892,593,31,07/01/2023,06/30/2024
10C0001418,THE SURGERY CENTER AT JENSEN BEACH LLC,3995 NW GOLDENROD RD,JENSEN BEACH,FL,34957,,(772) 497-0020,97,3,0,99,90,8,2,94,89,9,2,95,90,9,1,96,,1048,368,35,07/01/2023,06/30/2024
10C0001428,SOUTH FLORIDA AMBULATORY SURGICAL CENTER LLC,6110 SOUTHWEST 70TH ST,SOUTH MIAMI,FL,33143,,(305) 662-3100,96,3,1,98,88,9,3,92,83,11,6,92,76,21,3,91,,1374,222,16,07/01/2023,06/30/2024
10C0001449,PORT ORANGE ENDOSCOPY AND SURGERY CENTER,1185 DUNLAWTON AVE SUITE 100,PORT ORANGE,FL,32127,,(386) 672-0017,,,,,,,,,,,,,,,,,4,,,,,
10C0001474,MURDOCK AMBULATORY SURGERY CENTER LLC,1400 EDUCATION WAY,PORT CHARLOTTE,FL,33948,,(941) 625-9800,99,1,0,99,90,7,3,94,91,8,1,96,93,6,1,97,,1032,450,44,07/01/2023,06/30/2024
10C0001486,PARKCREEK ASC LLC,6806 NORTH STATE ROAD 7,COCONUT CREEK,FL,33073,,(000) 000-0000,98,2,0,99,91,7,2,95,88,11,1,95,87,12,1,95,,1099,275,25,07/01/2023,06/30/2024
10C0001490,ANDREWS INSTITUTE AMBULATORY SURGERY CENTER,1040 GULF BREEZE PARKWAY SUITE 100,GULF BREEZE,FL,32561,,(850) 916-8623,,,,,,,,,,,,,,,,,4,,,,,
10C0001496,ADVENTHEALTH SURGERY CENTER WELLSWOOD LLC,513 NORTH ARMENIA AVENUE,TAMPA,FL,33603,,(000) 000-0000,95,4,1,97,89,9,2,94,83,15,2,93,77,21,2,91,,1780,292,16,07/01/2023,06/30/2024
10C0001505,LAKE ENDOSCOPY CENTER LLC,17355 SOUTHEAST 109TH TERRACE RD,SUMMERFIELD,FL,34491,,(352) 671-3909,97,3,0,99,95,4,1,97,92,7,1,97,90,9,1,96,,1028,477,46,07/01/2023,06/30/2024
10C0001509,BLUE SPRINGS SURGERY CENTER,1053 MEDICAL DR SUITE 201,ORANGE CITY,FL,32763,,(386) 878-8080,,,,,,,,,,,,,,,,,4,,,,,
10C0001512,TLC ASC LLC DBA TLC OUTPATIENT SURGERY AND LASER CENTER,201 WEST GUAVA ST,LADY LAKE,FL,32159,,(352) 391-5875,97,3,0,99,91,7,2,94,88,11,1,95,88,10,2,95,,651,290,45,07/01/2023,06/30/2024
10C0001513,TAMPA MINIMALLY INVASIVE SPINE SURGERY CENTER,5329 PRIMROSE LAKE CIR,TAMPA,FL,33647,,(813) 463-9762,98,2,0,99,95,4,1,97,92,6,2,96,90,8,2,95,,1851,344,19,07/01/2023,06/30/2024
10C0001521,RIVERWALK AMBULATORY SURGERY CENTER,200 3RD AVE WEST SUITE 170,BRADENTON,FL,34205,,(941) 220-6786,96,4,0,98,89,8,3,93,82,14,4,93,76,22,2,91,,849,300,35,07/01/2023,06/30/2024
10C0001528,CORAL RIDGE OUTPATIENT CENTER LLC,5301 NORTH DIXIE HWY.,OAKLAND PARK,FL,33334,,(954) 832-3300,96,3,1,98,92,6,2,95,90,8,2,95,89,11,0,96,,1132,326,29,07/01/2023,06/30/2024
10C0001531,CARILLON SURGERY CENTER LLC,900 CARILLON PARKWAY SUITE 205,ST. PETERSBURG,FL,33716,,(727) 561-2710,97,3,0,98,93,6,1,96,89,9,2,96,88,11,1,95,,2216,616,28,07/01/2023,06/30/2024
10C0001539,SURGERY CENTER OF PEMBROKE PINES LLC DBA BROWARD SPECIALTY SURGICAL CENTER,7261 SHERIDAN ST SUITE 100A,HOLLYWOOD,FL,33024,,(954) 322-4222,97,2,1,98,88,9,3,92,85,13,2,94,84,15,1,94,,1716,259,15,07/01/2023,06/30/2024
10C0001545,SURGICARE OF MIRAMAR LLC,14601 SOUTHWEST 29TH ST SUITE 301,MIRAMAR,FL,33027,,(954) 266-3807,98,2,0,99,95,4,1,97,92,6,2,96,86,9,5,92,,1498,262,17,07/01/2023,06/30/2024
10C0001549,TITUSVILLE CENTER FOR SURGICAL EXCELLENCE LLC,814 SOUTH WASHIGNTON AVE,TITUSVILLE,FL,32796,,(321) 567-6300,99,1,0,99,96,3,1,97,92,7,1,97,93,7,0,97,,641,290,45,07/01/2023,06/30/2024
10C0001559,SAFETY HARBOR ASC COMPANY LLC DBA SAFETY HARBOR SURGERY CENTER,3280 NORTH MCMULLEN BOOTH RD SUITE 110,CLEARWATER,FL,33761,,(727) 787-3000,98,2,0,99,95,4,1,97,93,7,0,97,92,7,1,97,,1126,458,41,07/01/2023,06/30/2024
10C0001560,SURGCENTER PINELLAS LLC,12416 66TH ST. N STE. D,LARGO,FL,33773,,(727) 408-5310,96,4,0,98,90,8,2,94,83,15,2,94,84,14,2,94,,898,294,33,07/01/2023,06/30/2024
10C0001571,SURGERY CENTRE OF SW FLORIDA LLC,665 DEL PRADO BLVD S.,CAPE CORAL,FL,33990,,(239) 772-3636,97,3,0,98,88,9,3,92,84,13,3,94,81,15,4,92,,865,266,31,07/01/2023,06/30/2024
10C0001576,THE OUTPATIENT CENTER OF DELRAY,4675 LINTON BLVD STE 101,DELRAY BEACH,FL,33445,,(561) 499-9585,94,5,1,97,92,6,2,95,84,13,3,93,83,15,2,93,,1044,281,27,07/01/2023,06/30/2024
10C0001577,ADVANCED SURGERY CENTER OF SARASOTA LLC,2621 CATTLEMEN RD SUITE 100,SARASOTA,FL,34232,,(941) 444-5510,98,2,0,99,92,6,2,95,93,5,2,96,89,10,1,96,,790,351,44,07/01/2023,06/30/2024
10C0001578,SURGCENTER NORTHEAST LLC,"2438 DR. MARTIN LUTHER KING JR. ST. N, STE. C",ST PETERSBURG,FL,33704,,(727) 565-0740,97,3,0,99,91,7,2,95,87,10,3,95,88,10,2,95,,779,234,30,07/01/2023,06/30/2024
10C0001579,SURGCENTER OF ORANGE PARK LLC,"1465 KINGSLEY AVE., STE. 1201",ORANGE PARK,FL,32073,,(904) 385-4854,98,2,0,99,93,5,2,96,94,5,1,97,93,6,1,97,,1560,405,26,07/01/2023,06/30/2024
10C0001582,LONGLEAF SURGERY CENTER,3010 STARKEY BLVD,NEW PORT RICHEY,FL,34655,,(727) 372-0600,99,1,0,100,93,6,1,96,92,7,1,96,87,11,2,95,,837,270,32,07/01/2023,06/30/2024
10C0001586,MARION SURGERY CENTER LLC,2207 SW 1ST AVE,OCALA,FL,34471,,(352) 732-4020,92,6,2,95,90,9,1,94,87,10,3,94,81,17,2,92,,774,301,39,07/01/2023,06/30/2024
10C0001588,SURGCENTER OF PALM BEACH GARDENS LLC,900 VILLAGE SQUARE CROSSING SUITE 100,PALM BEACH GARDENS,FL,33410,,(561) 429-6880,99,1,0,99,92,7,1,95,91,8,1,96,87,10,3,94,,889,201,23,07/01/2023,06/30/2024
10C0001589,ADVANCED SURGERY CENTER OF TAMPA LLC,1881 W. KENNEDY BLVD,TAMPA,FL,33606,,(813) 693-5000,97,2,1,98,94,4,2,96,90,7,3,95,91,8,1,96,,748,175,23,07/01/2023,06/30/2024
10C0001594,MIAMI CHILDRENS HOSPITAL AMBULATORY SURGERY CENTER,"800 SW 108TH AVE, STE. 200",MIAMI,FL,33174,,(305) 228-7554,,,,,,,,,,,,,,,,,4,,,,,
10C0001596,SEASIDE SURGERY CENTER,1879 VETERANS PARK DR SUITE 1101,NAPLES,FL,34109,,(239) 592-4955,98,2,0,99,93,6,1,96,95,4,1,97,90,9,1,96,,754,387,51,07/01/2023,06/30/2024
10C0001600,ADVENTHEALTH SURGERY CENTER DAVENPORT LLC,107 PARK PLACE BOULEVARD,DAVENPORT,FL,33837,,(863) 419-2812,95,4,1,97,87,9,4,92,83,14,3,92,82,14,4,92,,1548,385,25,07/01/2023,06/30/2024
10C0001601,SELECT PHYSICIANS SURGERY CENTER,3440 WEST MARTIN LUTHER KING JR BLVD SUITE 103,TAMPA,FL,33607,,(813) 321-1618,98,2,0,99,91,8,1,95,89,10,1,95,85,13,2,94,,1235,249,20,07/01/2023,06/30/2024
10C0001608,SURGCENTER OF ST. LUCIE,10521 SOUTHWEST VILLAGE CENTER DR #104,PORT ST. LUCIE,FL,34987,,(772) 345-8600,96,3,1,98,92,6,2,95,89,9,2,95,87,12,1,95,,918,335,36,07/01/2023,06/30/2024
10C0001609,ADVANCED CENTER FOR SURGERY VERO BEACH DBA THE ADVANCED CENTER FOR SURGERY,1355 37TH STREET SUITE 304,VERO BEACH,FL,32960,,(000) 000-0000,97,3,0,98,91,8,1,95,91,8,1,95,89,10,1,96,,1203,442,37,07/01/2023,06/30/2024
10C0001612,MIAMI SURGICAL SUITES LLC,9035 SUNSET DR SUITE 200,MIAMI,FL,33173,,(786) 615-6210,96,4,0,98,91,7,2,95,90,9,1,96,86,12,2,94,,1149,183,16,07/01/2023,06/30/2024
10C0001623,WELLINGTON EDOSCOPY CENTER,1157 SOUTH STATE ROAD 7,WELLINGTON,FL,33414,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
10C0001630,CLEVELAND CLINIC CORAL SPRINGS AMBULATORY SURGERY CENTER,5701 UNIVERSITY DR,CORAL SPRINGS,FL,33067,,(954) 689-5294,,,,,,,,,,,,,,,,,4,,,,,
10C0001637,INTRACOASTAL SURGERY CENTER LLC,2200 WEST EAU GALLIE BLVD SUITE 100,MELBOURNE,FL,32935,,(321) 610-3460,97,2,1,98,93,6,1,96,90,8,2,95,88,10,2,95,,1259,384,31,07/01/2023,06/30/2024
10C0001645,SURGCENTER CLEARWATER LLC DBA SURGCENTER DUNEDIN,980 MILWAUKEE AVE,DUNEDIN,FL,34698,,(727) 733-4610,98,2,0,99,91,6,3,94,92,6,2,96,86,12,2,94,,890,307,35,07/01/2023,06/30/2024
10C0001646,SKYWAY SURGERY CENTER LLC,625 6TH AVE SOUTH,ST PETERSBURG,FL,33701,,(727) 440-4888,98,2,0,99,93,5,2,96,92,6,2,96,92,7,1,97,,659,226,34,07/01/2023,06/30/2024
10C0001658,SURGCENTER OF GREATER JACKSONVILLE LLC,9143 PHILIPS HWY SUITE 500,JACKSONVILLE,FL,32256,,(904) 586-8540,,,,,,,,,,,,,,,,,4,,,,,
10C0001660,HSS PALM BEACH AMBULATORY SURGERY CENTER,: 300 PALM BEACH LAKES BOULEVARD,WEST PALM BEACH,FL,33401,,(000) 000-0000,98,2,0,99,94,4,2,96,94,5,1,97,93,6,1,97,,804,291,36,07/01/2023,06/30/2024
10C0001668,ADVANCED SURGICAL CARE OF CLEARWATER,93 PARK PLACE BOULEVARD SUITE 102,CLEARWATER,FL,33759,,(727) 742-3564,98,2,0,99,93,6,1,96,95,3,2,97,92,5,3,96,,732,245,34,07/01/2023,06/30/2024
10C0001669,MINIMALLY INVASIVE SURGICENTER,6646 WEST ATLANTIC AVENUE,DELRAY BEACH,FL,33446,,(561) 638-9533,,,,,,,,,,,,,,,,,4,,,,,
10C0001671,FLORIDA SPRINGS SURGERY CENTER LLC,366 BEVERLY COURT,SPRING HILL,FL,34606,,(352) 600-0220,98,2,0,99,90,8,2,94,94,6,0,97,93,6,1,97,,763,286,37,07/01/2023,06/30/2024
10C0001693,ASC OF TRINITY DBA COMPREHENSIVE OUTPATIENT JOINT AND SPINE INSTITUTE,15238 VIRGINIA STATION,ODESSA,FL,33556,,(813) 596-5200,98,2,0,99,92,6,2,95,93,6,1,97,93,4,3,96,,819,311,38,07/01/2023,06/30/2024
10C0001709,ADVENTHEALTH SURGERY CENTER MILLS PARK LLC,1812 NORTH MILLS AVENUE SUITE 210,ORLANDO,FL,32803,,(407) 420-0100,,,,,,,,,,,,,,,,,4,,,,,
10C0001732,ADVENT HEALTH SURGERY CENTER INNOVATION TOWER LLC,265 EAST ROLLINS STREET SUITE 3100,ORLANDO,FL,32804,,(407) 200-3706,,,,,,,,,,,,,,,,,4,,,,,
11C0001006,EMORY HEALTHCARE,"1365 CLIFTON RD, NE SUITE BT200",ATLANTA,GA,30322,,(404) 778-3348,,,,,,,,,,,,,,,,,4,,,,,
11C0001015,SURGERY CENTER OF ROME LP,16 JOHN MADDOX DR,ROME,GA,30165,,(706) 802-3727,,,,,,,,,,,,,,,,,4,,,,,
11C0001049,RESURGENS SURGERY CENTER LLC,5671 PEACHTREE DUNWOODY RD SUITE 800,ATLANTA,GA,30342,,(404) 531-8532,98,2,0,99,95,4,1,97,95,4,1,97,93,6,1,97,,1138,322,28,07/01/2023,06/30/2024
11C0001056,THE ENDOSCOPY CENTER OF SOUTHEAST GEORGIA INC,200 MAPLE DR,VIDALIA,GA,30474,,(912) 538-1003,98,2,0,99,95,4,1,97,92,6,2,97,92,7,1,96,,872,166,19,07/01/2023,06/30/2024
11C0001085,NORTHWEST GEORGIA ORTHOPAEDIC SURGERY CENTER LLC,2550 WINDY HILL RD SOUTHEAST SUITE 218,MARIETTA,GA,30067,,(770) 953-8058,97,3,0,99,91,7,2,94,87,11,2,94,85,13,2,94,,1154,238,21,07/01/2023,06/30/2024
11C0001177,EAST WEST SURGERY CENTER LP,2041 MESA VALLEY WAY SUITE 125,AUSTELL,GA,30106,,(678) 309-8100,97,2,1,98,89,8,3,93,89,8,3,94,86,12,2,95,,1086,264,24,07/01/2023,06/30/2024
11C0001182,ROSWELL SURGERY CENTER LLC,1285 HEMBREE RD SUITE 200C,ROSWELL,GA,30076,,(770) 772-5520,99,1,0,99,95,4,1,97,95,4,1,97,93,6,1,97,,1104,311,28,07/01/2023,06/30/2024
11C0001185,PEACHTREE ORTHOPAEDIC SURGERY CENTER AT PIEDMONT LLC,"77 COLLIER RD, STE. 2000",ATLANTA,GA,30309,,(404) 351-6393,,,,,,,,,,,,,,,,,4,,,,,
11C0001192,LAWRENCEVILLE SURGERY CENTER LLC,758 OLD NORCROSS RD SUITE 125,LAWRENCEVILLE,GA,30046,,(678) 987-0820,99,1,0,99,95,4,1,97,94,5,1,97,91,8,1,96,,1084,281,26,07/01/2023,06/30/2024
11C0001228,GAINESVILLE ENDOSCOPY CENTER LLC,660 E/F LANIER PARK DR,GAINESVILLE,GA,30501,,(770) 297-5321,,,,,,,,,,,,,,,,,4,,,,,
11C0001234,ORTHOPAEDIC SOUTH SURGICAL CENTER,6645 LAKE DR,MORROW,GA,30260,,(678) 422-4230,98,2,0,99,93,6,1,96,95,4,1,97,92,6,2,96,,1182,306,26,07/01/2023,06/30/2024
11C0001245,ENDSOCOPY CENTER OF MIDDLE GEORGIA LLC,610 THIRD ST,MACON,GA,31201,,(478) 464-2600,,,,,,,,,,,,,,,,,4,,,,,
11C0001257,OPTIMUM SPINE CENTER LLC,"5555 PEACHTREE DUNWOODY ROAD, SUITE G99",ATLANTA,GA,30342,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
11C0001258,THOMAS EYE SURGERY CENTER LLC,5995 BARFIELD RD,SANDY SPRINGS,GA,30328,,(678) 781-7388,94,5,1,96,88,10,2,93,84,12,4,93,83,13,4,92,,1730,374,22,07/01/2023,06/30/2024
11C0001279,SURGICAL CENTER FOR UROLOGY LLC,290 COUNTRY CLUB DR SUITE 240,STOCKBRIDGE,GA,30281,,(678) 565-1806,97,2,1,98,88,9,3,92,90,8,2,95,88,9,3,95,,1652,315,20,07/01/2023,06/30/2024
11C0001368,NORTH COLUMBUS SURGERY CENTER LLC,7351 OLD MOON RD,COLUMBUS,GA,31909,,(706) 653-7000,98,2,0,99,93,6,1,97,80,19,1,94,88,11,1,95,2,2178,340,16,07/01/2023,06/30/2024
11C0001370,GEORGIA SPINE SURGERY CENTER LLC DBA GNS SURGERY CENTER,1061 DOWDY RD SUITE 103,ATHENS,GA,30606,,(706) 543-9222,99,1,0,99,93,6,1,96,95,3,2,97,95,3,2,98,,350,107,31,07/01/2023,06/30/2024
11C0001383,HUGHSTON SURGICAL CENTER LLC,6262 VETERANS PKWY UNIT. B,COLUMBUS,GA,31909,,(706) 494-3434,97,2,1,98,92,7,1,95,94,5,1,97,95,3,2,97,,998,351,35,07/01/2023,06/30/2024
11C0001384,PEACHTREE ORTHOPAEDIC SURGERY CENTER AT PERIMETER,5505 PEACHTREE DUNWOODY RD SUITE 200,ATLANTA,GA,30342,,(404) 603-7302,,,,,,,,,,,,,,,,,4,,,,,
11C0001395,BRASELTON ENDOSCOPY CENTER LLC,"1515 RIVER PL, STE 320",BRASELTON,GA,30517,,(678) 997-2151,,,,,,,,,,,,,,,,,4,,,,,
11C0001435,AOS SURGERY CENTER LLC,1290 INTERSTATE PARKWAY,AUGUSTA,GA,30909,,(706) 860-8383,,,,,,,,,,,,,,,,,4,,,,,
11C0001460,RESURGENS EAST SURGERY CENTER LLC,3241 IRIS DR SUITE 100,COVINGTON,GA,30016,,(678) 712-7624,99,1,0,99,94,6,0,97,93,5,2,96,87,10,3,94,,1047,235,22,07/01/2023,06/30/2024
11C0001472,RESURGENS FAYETTE SURGERY CENTER LLC,1336 HWY 54 WEST BUILDING 400 SUITE A,FAYETTEVILLE,GA,30214,,(678) 251-0200,98,2,0,99,90,9,1,94,95,4,1,97,91,7,2,96,,1118,340,30,07/01/2023,06/30/2024
11C0001508,REGENERATIVE ORTHOPAEDICS SURGERY CENTER LLC,135 NORTH PARK PL SUITE 100,STOCKBRIDGE,GA,30281,,(470) 615-7646,,,,,,,,,,,,,,,,,4,,,,,
11C0001551,PEACHTREE ORTHOPAEDIC SURGERY CENTER-NORTH LLC,2860 RONALD REAGAN BOULEVARD SUITE 100,CUMMING,GA,30041,,(404) 425-1500,,,,,,,,,,,,,,,,,4,,,,,
11C0001564,BRASELTON ASC LLC,1524 RIVER PLACE SUITE 100,BRASELTON,GA,30517,,(770) 848-1730,,,,,,,,,,,,,,,,,4,,,,,
12C0001012,KAISER PERMANENTE HONOLULU CLINIC ASC,1010 PENSACOLA ST,HONOLULU,HI,96814,,(808) 597-2611,98,2,0,99,93,6,1,96,90,9,1,96,87,12,1,95,,2454,856,35,07/01/2023,06/30/2024
12C0001023,MINIMALLY INVASIVE SURGERY HAWAII,1401 SOUTH BERETANIA ST SUITE 600,HONOLULU,HI,96814,,(808) 356-5658,99,1,0,99,88,11,1,93,99,1,0,99,93,5,2,97,,513,243,48,07/01/2023,06/30/2024
12C0001100,KAISER WAILUKU CLINIC ASC,80 MAHALANI ST,WAILUKU,HI,96793,,(808) 243-6000,97,3,0,99,95,4,1,97,89,10,1,95,87,11,2,95,,1521,439,29,07/01/2023,06/30/2024
